Start - 2018-08-08
14:39:24: 128: ** ERROR ** : RecordType: AAAA | RequestId: 27966 | SrcIP: 176.10.99.200  |  SrcPort: 42760  |  Domain: ns2.dnstestsuite.space
14:39:24: 129: ** ERROR ** : RecordType: AAAA | RequestId: 50326 | SrcIP: 176.10.99.200  |  SrcPort: 25341  |  Domain: ns2.dnstestsuite.space
14:39:24: 130: RecordType: A | RequestId: 51155 | SrcIP: 176.10.99.200  |  SrcPort: 22319  |  Domain: ns2.dnstestsuite.space
14:39:24: 131: RecordType: A | RequestId: 23399 | SrcIP: 176.10.99.200  |  SrcPort: 38206  |  Domain: ns.dnstestsuite.space
14:39:39: 132: RecordType: A | RequestId: 15261 | SrcIP: 176.10.99.200  |  SrcPort: 29352  |  Domain: 78_176-10-99-206.DNsteStSuiTE.SPACe
14:39:39: 133: RecordType: A | RequestId: 1945 | SrcIP: 176.10.99.200  |  SrcPort: 43491  |  Domain: ns.dnstestsuite.space
14:39:39: 134: RecordType: A | RequestId: 58362 | SrcIP: 176.10.99.200  |  SrcPort: 12447  |  Domain: ns2.dnstestsuite.space
14:39:39: 135: ** ERROR ** : RecordType: AAAA | RequestId: 3340 | SrcIP: 176.10.99.200  |  SrcPort: 47709  |  Domain: ns.dnstestsuite.space
14:39:39: 136: ** ERROR ** : RecordType: AAAA | RequestId: 15283 | SrcIP: 176.10.99.200  |  SrcPort: 19482  |  Domain: ns2.dnstestsuite.space
14:39:39: 137: ** ERROR ** : RecordType: AAAA | RequestId: 53298 | SrcIP: 176.10.99.200  |  SrcPort: 13757  |  Domain: ns.dnstestsuite.space
14:39:39: 138: ** ERROR ** : RecordType: AAAA | RequestId: 3027 | SrcIP: 176.10.99.200  |  SrcPort: 44623  |  Domain: ns2.dnstestsuite.space
14:39:39: 139: ** ERROR ** : RecordType: AAAA | RequestId: 11376 | SrcIP: 176.10.99.200  |  SrcPort: 11383  |  Domain: ns.dnstestsuite.space
14:39:39: 140: ** ERROR ** : RecordType: AAAA | RequestId: 42462 | SrcIP: 176.10.99.200  |  SrcPort: 45137  |  Domain: ns2.dnstestsuite.space
14:39:39: 141: ** ERROR ** : RecordType: AAAA | RequestId: 19758 | SrcIP: 176.10.99.200  |  SrcPort: 48461  |  Domain: ns.dnstestsuite.space
14:39:39: 142: ** ERROR ** : RecordType: AAAA | RequestId: 7139 | SrcIP: 176.10.99.200  |  SrcPort: 43630  |  Domain: ns2.dnstestsuite.space
14:39:39: 143: ** ERROR ** : RecordType: AAAA | RequestId: 4893 | SrcIP: 176.10.99.200  |  SrcPort: 50301  |  Domain: ns.dnstestsuite.space
14:39:39: 144: ** ERROR ** : RecordType: AAAA | RequestId: 17102 | SrcIP: 176.10.99.200  |  SrcPort: 11944  |  Domain: ns2.dnstestsuite.space
