Start - 2018-07-17
00:18:16: 185: RecordType: A | RequestId: 63001 | SrcIP: 91.198.250.2  |  SrcPort: 43060  |  Domain : 46_80-241-60-207.DnStEstsuItE.SpaCe
00:18:17: 186: RecordType: A | RequestId: 2592 | SrcIP: 195.10.208.2  |  SrcPort: 35861  |  Domain : 47_80-241-60-207.DnSTesTSuITe.SPAcE
00:18:17: 187: RecordType: A | RequestId: 9 | SrcIP: 80.241.59.2  |  SrcPort: 34597  |  Domain : 48_80-241-60-207.DnsTEsTSUiTe.SPAcE
00:18:18: 188: RecordType: A | RequestId: 49273 | SrcIP: 91.198.250.2  |  SrcPort: 51509  |  Domain : 49_80-241-60-207.DNStesTSUiTE.SPacE
00:18:18: 189: RecordType: A | RequestId: 32582 | SrcIP: 195.10.208.2  |  SrcPort: 59413  |  Domain : 50_80-241-60-207.dNSteSTsUIte.SPace
00:18:19: 190: RecordType: A | RequestId: 9892 | SrcIP: 80.241.59.2  |  SrcPort: 36455  |  Domain : 51_80-241-60-207.dNStEStsuite.spAce
00:18:20: 191: RecordType: A | RequestId: 2507 | SrcIP: 91.198.250.2  |  SrcPort: 59731  |  Domain : 52_80-241-60-207.dNSTesTSUiTE.sPace
00:18:20: 192: RecordType: A | RequestId: 28462 | SrcIP: 195.10.208.2  |  SrcPort: 46105  |  Domain : 53_80-241-60-207.dnSteSTSUItE.SpACE
00:18:21: 193: RecordType: A | RequestId: 62301 | SrcIP: 80.241.59.2  |  SrcPort: 56866  |  Domain : 54_80-241-60-207.dnSTestSuiTe.spACe
00:18:21: 194: RecordType: A | RequestId: 887 | SrcIP: 91.198.250.2  |  SrcPort: 47282  |  Domain : 55_80-241-60-207.dnSteSTSuiTe.SpAcE
00:18:22: 195: RecordType: A | RequestId: 54576 | SrcIP: 195.10.208.2  |  SrcPort: 51882  |  Domain : 56_80-241-60-207.DNstEsTsuiTE.sPAcE
00:18:22: 196: RecordType: A | RequestId: 65427 | SrcIP: 80.241.59.2  |  SrcPort: 57887  |  Domain : 57_80-241-60-207.DNsTEsTsuite.sPacE
00:18:23: 197: RecordType: A | RequestId: 8944 | SrcIP: 91.198.250.2  |  SrcPort: 35312  |  Domain : 58_80-241-60-207.dnSTestSuIte.SpaCE
00:18:23: 198: RecordType: A | RequestId: 26766 | SrcIP: 195.10.208.2  |  SrcPort: 48825  |  Domain : 59_80-241-60-207.dNStESTsUIte.SpaCE
00:18:24: 199: RecordType: A | RequestId: 29629 | SrcIP: 80.241.59.2  |  SrcPort: 46018  |  Domain : 60_80-241-60-207.DNsTeStSuite.SpaCe
